nama_sample,ph_label,ppm_label,ntu_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,suhu
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49286.60,2.4818,11203.60,0.5642,0.5182,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49280.40,2.4815,11168.40,0.5624,0.5171,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49217.90,2.4784,11210.00,0.5645,0.5185,2188,1.7632,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49273.90,2.4812,11170.00,0.5625,0.5172,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49216.30,2.4783,11154.00,0.5617,0.5165,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49245.00,2.4797,11278.80,0.5679,0.5216,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49326.80,2.4838,11222.80,0.5651,0.5191,2176,1.7536,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49264.30,2.4807,11267.60,0.5674,0.5217,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49320.40,2.4835,11221.20,0.5650,0.5196,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49237.00,2.4793,11245.20,0.5662,0.5201,2183,1.7592,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49288.30,2.4819,11216.40,0.5648,0.5188,2169,1.7479,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49224.30,2.4787,11197.20,0.5638,0.5179,2168,1.7471,0.00,29.44
