nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47388.90,2.3863,14990.40,0.7548,0.6941,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47791.90,2.4066,14346.90,0.7224,0.6643,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47204.80,2.3770,14260.80,0.7181,0.6596,2169,1.7479,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47377.70,2.3857,15079.90,0.7593,0.6982,2185,1.7608,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47268.90,2.3802,15319.90,0.7714,0.7085,2162,1.7423,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47299.20,2.3817,14492.60,0.7298,0.6711,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47709.00,2.4024,13812.50,0.6955,0.6396,2184,1.7600,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47761.80,2.4050,15004.80,0.7556,0.6948,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47310.50,2.3823,14284.60,0.7193,0.6614,2158,1.7390,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47913.70,2.4127,13585.20,0.6841,0.6283,2162,1.7423,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48115.50,2.4228,14663.60,0.7384,0.6782,2173,1.7511,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47984.20,2.4162,15073.60,0.7590,0.6972,2161,1.7415,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47952.10,2.4146,14161.40,0.7131,0.6557,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47873.90,2.4107,13578.60,0.6837,0.6287,2176,1.7536,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47873.80,2.4107,14658.90,0.7381,0.6788,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47796.90,2.4068,14070.00,0.7085,0.6515,2164,1.7439,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48070.70,2.4206,13617.20,0.6857,0.6305,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47721.80,2.4030,14526.00,0.7315,0.6726,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47517.00,2.3927,14531.10,0.7317,0.6728,2158,1.7390,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47997.10,2.4169,12983.40,0.6538,0.6012,2147,1.7302,0.15,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47700.80,2.4020,13026.80,0.6560,0.6032,2169,1.7479,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47683.40,2.4011,14398.20,0.7250,0.6667,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47609.80,2.3974,14209.40,0.7155,0.6572,2163,1.7431,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47648.10,2.3993,13522.80,0.6809,0.6261,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47848.10,2.4094,14049.60,0.7075,0.6505,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47496.10,2.3917,14050.80,0.7075,0.6506,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47790.60,2.4065,13409.20,0.6752,0.6209,2159,1.7399,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48155.50,2.4249,14303.80,0.7203,0.6623,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47963.50,2.4152,14804.50,0.7455,0.6855,2159,1.7399,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47958.70,2.4149,13569.20,0.6833,0.6283,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48293.20,2.4318,12972.20,0.6532,0.6007,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47537.80,2.3938,13876.70,0.6988,0.6425,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47797.10,2.4068,13628.40,0.6863,0.6310,2161,1.7415,0.00,29.38
